sample,height,width,total_pixels,IoU_Background,GT_Background_pixels,Pred_Background_pixels,GT_Background_pct,Pred_Background_pct,IoU_Bareland,GT_Bareland_pixels,Pred_Bareland_pixels,GT_Bareland_pct,Pred_Bareland_pct,IoU_Rangeland,GT_Rangeland_pixels,Pred_Rangeland_pixels,GT_Rangeland_pct,Pred_Rangeland_pct,IoU_Developed,GT_Developed_pixels,Pred_Developed_pixels,GT_Developed_pct,Pred_Developed_pct,IoU_Road,GT_Road_pixels,Pred_Road_pixels,GT_Road_pct,Pred_Road_pct,IoU_Tree,GT_Tree_pixels,Pred_Tree_pixels,GT_Tree_pct,Pred_Tree_pct,IoU_Water,GT_Water_pixels,Pred_Water_pixels,GT_Water_pct,Pred_Water_pct,IoU_Agriculture,GT_Agriculture_pixels,Pred_Agriculture_pixels,GT_Agriculture_pct,Pred_Agriculture_pct,IoU_Building,GT_Building_pixels,Pred_Building_pixels,GT_Building_pct,Pred_Building_pct,mIoU,Pixel_Accuracy
aachen_21.tif,1000,1000,1000000,0.0,37,0,0.0036999999999999997,0.0,0.3610428180586412,241700,229410,24.169999999999998,22.941,0.34535401120478315,152224,197899,15.2224,19.7899,0.4747311316265347,66586,57374,6.658600000000001,5.7374,0.601650262760953,224046,241038,22.4046,24.1038,0.0,0,136,0.0,0.0136,0.5688770580204353,155470,96192,15.547,9.6192,0.6411890421604818,159937,177951,15.9937,17.7951,nan,0,0,0.0,0.0,0.42754918911883283,0.652719
aachen_22.tif,1000,1000,1000000,0.0,115,0,0.0115,0.0,0.3706051210538808,222977,146582,22.297700000000003,14.658199999999999,0.21274981919528674,49144,157112,4.9144,15.7112,0.37183019285297725,43570,24647,4.356999999999999,2.4646999999999997,0.5067711669618298,110575,89366,11.057500000000001,8.9366,0.0,163,0,0.016300000000000002,0.0,0.8798236397826047,445912,464793,44.5912,46.4793,0.6662292183728283,127544,117500,12.754399999999999,11.75,nan,0,0,0.0,0.0,0.4297155940313439,0.746067
aachen_24.tif,1000,1000,1000000,nan,0,0,0.0,0.0,0.46299449250742725,187697,192961,18.7697,19.2961,0.24371451743714517,7868,7467,0.7867999999999999,0.7466999999999999,0.30241262163874016,15493,7126,1.5493,0.7126,0.7760639226769402,242069,256275,24.2069,25.627499999999998,0.511782644857222,5334,5572,0.5334,0.5571999999999999,0.799880248874079,525057,512025,52.5057,51.20249999999999,0.7076331043889132,16482,18574,1.6482,1.8574,nan,0,0,0.0,0.0,0.5434973646257811,0.825585
aachen_26.tif,1000,1000,1000000,0.0,20,0,0.002,0.0,0.28467539704653105,28249,17858,2.8249,1.7857999999999998,0.36807311167884676,280415,333791,28.041500000000003,33.3791,0.4469997356595295,108887,110073,10.8887,11.0073,0.4362342269522655,32433,31534,3.2432999999999996,3.1534,nan,0,0,0.0,0.0,nan,0,0,0.0,0.0,0.6991519836892729,549996,506744,54.9996,50.6744,nan,0,0,0.0,0.0,0.44702689100528914,0.697353
aachen_27.tif,1000,1000,1000000,0.0,89,0,0.0089,0.0,0.403599787089765,193037,191962,19.3037,19.1962,0.35095327415318217,124751,133812,12.4751,13.381199999999998,0.4980803003694059,57843,65846,5.7843,6.5846,0.4718113380642724,155988,116746,15.598799999999999,11.6746,0.0,2241,0,0.2241,0.0,0.874649369949534,313318,292175,31.331799999999998,29.2175,0.6519634514718851,152733,199459,15.2733,19.945899999999998,nan,0,0,0.0,0.0,0.4644367887282921,0.727927
aachen_28.tif,1000,1000,1000000,nan,0,0,0.0,0.0,0.268650207969945,11825,25996,1.1825,2.5995999999999997,0.32186191914375034,35939,13956,3.5938999999999997,1.3956,0.0,0,8775,0.0,0.8775,0.0,33,2489,0.0033000000000000004,0.24889999999999998,0.0,0,327,0.0,0.0327,0.9568352128046562,944884,937885,94.4884,93.7885,0.5127251204870212,7319,10572,0.7319,1.0572,nan,0,0,0.0,0.0,0.29429606577219614,0.946841
aachen_29.tif,1000,1000,1000000,0.0,175,0,0.017499999999999998,0.0,0.16744371020832816,261969,66810,26.1969,6.680999999999999,0.6631895791167159,75508,52684,7.550800000000001,5.2684,0.0,0,9562,0.0,0.9561999999999999,0.7044410494852209,537660,745358,53.766000000000005,74.5358,nan,0,0,0.0,0.0,0.8175021987686896,120737,114844,12.0737,11.4844,0.27543402777777776,3951,10742,0.39509999999999995,1.0742,nan,0,0,0.0,0.0,0.4380017608927887,0.737676
aachen_30.tif,1000,1000,1000000,nan,0,0,0.0,0.0,0.5725820068825612,347992,313252,34.7992,31.3252,0.3726495266540202,153101,152982,15.310099999999998,15.298200000000001,0.5258978186945343,79002,68180,7.9002,6.8180000000000005,0.6348530659018368,242075,262954,24.2075,26.2954,0.0,300,0,0.03,0.0,0.0,0,2758,0.0,0.2758,0.696563753079316,177530,199874,17.753,19.9874,nan,0,0,0.0,0.0,0.4003637387446098,0.72565
aachen_31.tif,1000,1000,1000000,nan,0,0,0.0,0.0,0.34191858030122496,282933,130390,28.2933,13.039000000000001,0.39599824944453527,248135,332416,24.813499999999998,33.2416,0.35429121754268994,107121,75688,10.7121,7.5688,0.3969029380587612,105547,173828,10.5547,17.3828,0.0,62,0,0.006200000000000001,0.0,nan,0,0,0.0,0.0,0.6731783250989054,256202,287678,25.620199999999997,28.767799999999998,nan,0,0,0.0,0.0,0.36038155174101943,0.616022
aachen_32.tif,1000,1000,1000000,nan,0,0,0.0,0.0,0.15601536888857556,51712,13878,5.1712,1.3878,0.3523771824490186,196490,312561,19.649,31.256099999999996,0.49831691722827026,102689,114080,10.2689,11.408,0.48568284291728103,79745,59306,7.9745,5.9306,nan,0,0,0.0,0.0,nan,0,0,0.0,0.0,0.7473101064194764,569364,500175,56.9364,50.017500000000005,nan,0,0,0.0,0.0,0.44794048358052435,0.716475
